wavelength,Reflectance
341,
342,
343,
344,
345,
346,
347,
348,
349,
350,0.962978039
351,0.963412651
352,0.96384712
353,0.964281245
354,0.964714823
355,0.965147652
356,0.96557953
357,0.966010254
358,0.966439623
359,0.966867433
360,0.967293483
361,0.967717569
362,0.968139489
363,0.968559039
364,0.968976017
365,0.96939022
366,0.969801444
367,0.970209486
368,0.970614143
369,0.971015212
370,0.971412488
371,0.971805768
372,0.972194848
373,0.972579525
374,0.972959595
375,0.973334853
376,0.973705096
377,0.97407012
378,0.97442972
379,0.974783693
380,0.975131833
381,0.975473937
382,0.975809801
383,0.976139219
384,0.976461988
385,0.976777902
386,0.977086758
387,0.97738835
388,0.977682475
389,0.977968927
390,0.978247502
391,0.978517995
392,0.978780201
393,0.979033916
394,0.979278935
395,0.979515053
396,0.979742065
397,0.979959768
398,0.980167956
399,0.980366424
400,0.980554969
401,0.98073346
402,0.980902074
403,0.981061059
404,0.981210666
405,0.981351146
406,0.981482749
407,0.981605727
408,0.981720329
409,0.981826808
410,0.981925413
411,0.982016396
412,0.982100009
413,0.982176503
414,0.982246128
415,0.982309137
416,0.982365781
417,0.982416311
418,0.982460979
419,0.982500038
420,0.982533737
421,0.98256233
422,0.982586068
423,0.982605202
424,0.982619985
425,0.982630668
426,0.982637504
427,0.982640744
428,0.98264064
429,0.982637444
430,0.982631408
431,0.982622785
432,0.982611825
433,0.982598781
434,0.982583905
435,0.982567449
436,0.982549665
437,0.982530804
438,0.98251112
439,0.982490863
440,0.982470287
441,0.982449642
442,0.982429181
443,0.982409156
444,0.982389819
445,0.982371421
446,0.982354216
447,0.982338454
448,0.982324388
449,0.982312271
450,0.982302353
451,0.982294832
452,0.982289685
453,0.982286834
454,0.982286201
455,0.982287709
456,0.982291279
457,0.982296834
458,0.982304295
459,0.982313585
460,0.982324626
461,0.98233734
462,0.982351649
463,0.982367475
464,0.982384741
465,0.982403368
466,0.982423278
467,0.982444395
468,0.982466639
469,0.982489933
470,0.982514198
471,0.982539358
472,0.982565334
473,0.982592048
474,0.982619422
475,0.982647379
476,0.98267584
477,0.982704728
478,0.982733964
479,0.982763471
480,0.98279317
481,0.982822984
482,0.982852835
483,0.982882644
484,0.982912335
485,0.982941828
486,0.982971046
487,0.982999911
488,0.983028344
489,0.983056269
490,0.983083606
491,0.983110278
492,0.983136207
493,0.983161315
494,0.983185524
495,0.983208756
496,0.983230932
497,0.983251976
498,0.983271808
499,0.983290351
500,0.983307526
501,0.983323277
502,0.983337625
503,0.983350614
504,0.983362287
505,0.983372686
506,0.983381856
507,0.983389838
508,0.983396675
509,0.983402412
510,0.98340709
511,0.983410753
512,0.983413444
513,0.983415205
514,0.983416081
515,0.983416113
516,0.983415346
517,0.983413821
518,0.983411582
519,0.983408672
520,0.983405134
521,0.983401011
522,0.983396347
523,0.983391183
524,0.983385563
525,0.983379531
526,0.983373129
527,0.9833664
528,0.983359387
529,0.983352133
530,0.983344682
531,0.983337076
532,0.983329358
533,0.983321572
534,0.98331376
535,0.983305965
536,0.983298231
537,0.983290601
538,0.983283116
539,0.983275822
540,0.983268759
541,0.983261972
542,0.983255504
543,0.983249397
544,0.983243695
545,0.983238441
546,0.983233676
547,0.983229446
548,0.983225792
549,0.983222758
550,0.983220386
551,0.983218708
552,0.983217712
553,0.983217373
554,0.983217666
555,0.983218567
556,0.983220051
557,0.983222094
558,0.983224673
559,0.983227761
560,0.983231335
561,0.983235371
562,0.983239843
563,0.983244729
564,0.983250002
565,0.983255639
566,0.983261616
567,0.983267907
568,0.983274489
569,0.983281337
570,0.983288427
571,0.983295734
572,0.983303234
573,0.983310902
574,0.983318715
575,0.983326647
576,0.983334674
577,0.983342772
578,0.983350916
579,0.983359083
580,0.983367247
581,0.983375384
582,0.98338347
583,0.98339148
584,0.983399391
585,0.983407176
586,0.983414813
587,0.983422277
588,0.983429543
589,0.983436587
590,0.983443384
591,0.983449911
592,0.983456142
593,0.983462053
594,0.98346762
595,0.983472819
596,0.983477625
597,0.983482013
598,0.98348596
599,0.98348944
600,0.98349243
601,0.983494911
602,0.983496889
603,0.983498373
604,0.983499376
605,0.98349991
606,0.983499984
607,0.98349961
608,0.9834988
609,0.983497565
610,0.983495915
611,0.983493863
612,0.983491418
613,0.983488594
614,0.9834854
615,0.983481847
616,0.983477948
617,0.983473714
618,0.983469154
619,0.983464282
620,0.983459107
621,0.983453641
622,0.983447896
623,0.983441882
624,0.983435611
625,0.983429094
626,0.983422341
627,0.983415365
628,0.983408177
629,0.983400787
630,0.983393208
631,0.983385449
632,0.983377523
633,0.98336944
634,0.983361211
635,0.983352849
636,0.983344364
637,0.983335767
638,0.98332707
639,0.983318283
640,0.983309418
641,0.983300486
642,0.983291499
643,0.983282467
644,0.983273401
645,0.983264314
646,0.983255215
647,0.983246117
648,0.98323703
649,0.983227966
650,0.983218936
651,0.98320995
652,0.98320101
653,0.98319212
654,0.983183281
655,0.983174496
656,0.983165767
657,0.983157095
658,0.983148484
659,0.983139935
660,0.98313145
661,0.983123032
662,0.983114682
663,0.983106403
664,0.983098197
665,0.983090065
666,0.983082011
667,0.983074037
668,0.983066143
669,0.983058334
670,0.98305061
671,0.983042974
672,0.983035428
673,0.983027974
674,0.983020614
675,0.983013351
676,0.983006187
677,0.982999123
678,0.982992162
679,0.982985306
680,0.982978557
681,0.982971918
682,0.982965389
683,0.982958975
684,0.982952676
685,0.982946495
686,0.982940434
687,0.982934495
688,0.98292868
689,0.982922992
690,0.982917433
691,0.982912004
692,0.982906707
693,0.982901546
694,0.982896522
695,0.982891637
696,0.982886894
697,0.982882294
698,0.98287784
699,0.982873534
700,0.982869377
701,0.98286537
702,0.982861502
703,0.982857757
704,0.982854124
705,0.982850587
706,0.982847132
707,0.982843747
708,0.982840417
709,0.982837128
710,0.982833867
